Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NESR,National Energy Services Reunited Corp. Ordinary Shares,$12.32,-0.18,-1.44%,1081419453.00,United States,2017,87616,Energy,Oilfield Services/Equipment
NEX,NexTier Oilfield Solutions Inc. Common Stock,$3.475,-0.075,-2.113%,747679909.00,United States,2017,406403,Energy,Oilfield Services/Equipment
NS,Nustar Energy L.P.  Common Units,$18.235,0.075,0.413%,1997210676.00,United States,,123911,Energy,Natural Gas Distribution
OAS,Oasis Petroleum Inc. Common Stock,$72.50,0.60,0.834%,1450000000.00,United States,,150771,Energy,Oil & Gas Production
OII,Oceaneering International Inc. Common Stock,$10.77,0.07,0.654%,1072371517.00,United States,,237869,Energy,Oilfield Services/Equipment
OIS,Oil States International Inc. Common Stock,$5.82,-0.03,-0.513%,356683502.00,United States,2001,265044,Energy,Metal Fabrications
OMP,Oasis Midstream Partners LP Common Units Representing Limited Partner Interests,$21.7179,-0.2521,-1.147%,734666171.00,United States,,65405,Energy,Oil & Gas Production
PAGP,Plains GP Holdings L.P. Class A Units representing Limited Partner Interests,$9.3464,-0.0736,-0.781%,1814112911.00,United States,,986503,Energy,Natural Gas Distribution
PARR,Par Pacific Holdings Inc.  Common Stock,$15.09,-0.01,-0.066%,901768169.00,United States,,96658,Energy,Oil & Gas Production
PBF,PBF Energy Inc. Class A Common Stock,$13.37,-0.51,-3.674%,1606820050.00,United States,2012,1349494,Energy,Integrated oil Companies
PTEN,Patterson-UTI Energy Inc. Common Stock,$6.6823,-0.0877,-1.295%,1254868255.00,United States,1993,421819,Energy,Oil & Gas Production
PUMP,ProPetro Holding Corp. Common Stock,$9.96,-0.11,-1.092%,1016495837.00,United States,2017,245347,Energy,Oilfield Services/Equipment
REPX,Riley Exploration Permian Inc. Common Stock,$23.91,-1.19,-4.741%,430894591.00,United States,,6033,Energy,Oil & Gas Production
RES,RPC Inc. Common Stock,$5.035,-0.045,-0.886%,1086608204.00,United States,,504615,Energy,Oilfield Services/Equipment
SBR,Sabine Royalty Trust Common Stock,$32.55,-0.56,-1.691%,474557680.00,United States,,13077,Energy,Oil & Gas Production
SM,SM Energy Company Common Stock,$16.92,0.78,4.833%,1941439784.00,United States,,1903047,Energy,Oil & Gas Production
SOI,Solaris Oilfield Infrastructure Inc. Class A Common Stock,$11.19,-0.01,-0.089%,511226631.00,United States,2017,77717,Energy,Metal Fabrications
TELL,Tellurian Inc. Common Stock,$1.73,0.01,0.581%,668794880.00,United States,,4593468,Energy,Oil & Gas Production
THR,Thermon Group Holdings Inc. Common Stock,$19.43,-0.28,-1.421%,645022840.00,United States,2011,25855,Energy,Industrial Machinery/Components
TPIC,TPI Composites Inc. Common Stock,$48.13,-1.56,-3.139%,1806479462.00,United States,2016,351019,Energy,Industrial Machinery/Components
TTI,Tetra Technologies Inc. Common Stock,$2.51,-0.01,-0.397%,317281673.00,United States,,546851,Energy,Oil & Gas Production
WLL,Whiting Petroleum Corporation Common Stock (New),$36.20,0.92,2.608%,1411800796.00,United States,2020,156575,Energy,Oil & Gas Production
WTI,W&T Offshore Inc. Common Stock,$3.227,0.037,1.16%,459217493.00,United States,2005,1516817,Energy,Oil & Gas Production
WTTR,Select Energy Services Inc. Class A Common Stock,$4.91,0.01,0.204%,511261086.00,United States,2017,69279,Energy,Oilfield Services/Equipment
XOG,Extraction Oil & Gas Inc. Common Stock,$39.79,-0.25,-0.624%,1022489041.00,United States,,5364,Energy,Oil & Gas Production
